ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10003576,HY193135,3/21/2015 13:20,059XX S PULASKI RD,420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,FALSE,FALSE,822,8,13,65,04B,1150715,1865094,2015,2/10/2018 15:50,41.78570946,-87.72295295,"(41.785709457, -87.722952947)"
10003577,HY193207,3/20/2015 15:00,051XX W BERTEAU AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1624,16,45,15,6,1141416,1927440,2015,2/10/2018 15:50,41.95697111,-87.75550926,"(41.95697111, -87.755509263)"
10003578,HY193119,3/21/2015 13:25,078XX S HALSTED ST,1330,CRIMINAL TRESPASS,TO LAND,POLICE FACILITY/VEH PARKING LOT,TRUE,FALSE,621,6,17,71,26,1172325,1852947,2015,2/10/2018 15:50,41.75192833,-87.64407726,"(41.751928332, -87.644077264)"
10003579,HY193115,3/20/2015 21:00,012XX W 73RD ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,734,7,17,67,08B,1168980,1856366,2015,2/10/2018 15:50,41.7613834,-87.65623656,"(41.761383404, -87.656236556)"
10003580,HY193094,3/21/2015 13:00,042XX S WELLS ST,460,BATTERY,SIMPLE,GAS STATION,FALSE,FALSE,925,9,3,37,08B,1175323,1876782,2015,2/10/2018 15:50,41.81726767,-87.63237894,"(41.817267668, -87.632378944)"
10003581,HY193154,3/21/2015 13:30,062XX S LANGLEY AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,FALSE,FALSE,313,3,20,42,3,1181965,1863888,2015,2/10/2018 15:50,41.78173418,-87.6084134,"(41.781734181, -87.608413399)"
10003582,HY193172,3/21/2015 8:45,016XX W HARRISON ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,HOSPITAL BUILDING/GROUNDS,FALSE,FALSE,1231,12,2,28,26,1165491,1897444,2015,2/10/2018 15:50,41.87418063,-87.66785807,"(41.874180626, -87.66785807)"
10003583,HY193134,3/21/2015 13:40,015XX W 63RD ST,460,BATTERY,SIMPLE,CTA BUS,FALSE,FALSE,725,7,16,67,08B,1166948,1862947,2015,2/10/2018 15:50,41.77948618,-87.66349617,"(41.779486176, -87.663496166)"
10003585,HY193104,3/21/2015 12:55,070XX N SHERIDAN RD,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,2423,24,49,1,08B,1166614,1946902,2015,2/10/2018 15:50,42.00987178,-87.66231347,"(42.009871784, -87.662313472)"
10003586,HY192810,3/17/2015 8:30,064XX N OAKLEY AVE,810,THEFT,OVER $500,APARTMENT,FALSE,FALSE,2412,24,50,2,6,1159812,1942619,2015,2/10/2018 15:50,41.99826267,-87.68745917,"(41.99826267, -87.687459173)"
10003587,HY193143,3/21/2015 13:30,0000X S HALSTED ST,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,1232,12,27,28,6,1171058,1900047,2015,2/10/2018 15:50,41.88120318,-87.64734233,"(41.881203182, -87.647342333)"
10003588,HY193204,3/5/2015 18:00,010XX W 14TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,FALSE,1232,12,25,28,26,1169715,1893570,2015,2/10/2018 15:50,41.86345916,-87.65246237,"(41.863459158, -87.652462374)"
